datetime;covid_cases;covid_hospital;covid_deaths
2021/02/14 00:00:00+00;60466;1536;647
2021/02/15 00:00:00+00;60594;1542;652
2021/02/16 00:00:00+00;60745;1544;657
2021/02/17 00:00:00+00;60976;1547;661
2021/02/18 00:00:00+00;61198;1550;664
2021/02/19 00:00:00+00;61315;1553;666
2021/02/20 00:00:00+00;61524;1555;668
2021/02/21 00:00:00+00;61761;1558;668
2021/02/22 00:00:00+00;61907;1562;669
2021/02/23 00:00:00+00;62126;1564;673
2021/02/24 00:00:00+00;62322;1564;676
2021/02/25 00:00:00+00;62546;1567;681
2021/02/26 00:00:00+00;62763;1569;681
2021/02/27 00:00:00+00;63009;1576;683
2021/02/28 00:00:00+00;63197;1579;684
2021/03/01 00:00:00+00;63392;1580;684
2021/03/02 00:00:00+00;63484;1586;686
2021/03/03 00:00:00+00;63789;1587;686
2021/03/04 00:00:00+00;63924;1591;686
2021/03/05 00:00:00+00;64134;1596;686
2021/03/06 00:00:00+00;64446;1597;686
2021/03/07 00:00:00+00;64699;1603;686
2021/03/08 00:00:00+00;64825;1609;687
2021/03/09 00:00:00+00;65040;1613;690
2021/03/10 00:00:00+00;65272;1616;691
2021/03/11 00:00:00+00;65520;1619;694
2021/03/12 00:00:00+00;65845;1622;696
2021/03/13 00:00:00+00;66062;1628;698
2021/03/14 00:00:00+00;66332;1634;700
2021/03/15 00:00:00+00;66495;1634;702
2021/03/16 00:00:00+00;66758;1640;702
2021/03/17 00:00:00+00;67018;1641;704
2021/03/18 00:00:00+00;67199;1647;704
2021/03/19 00:00:00+00;67580;1655;705
2021/03/20 00:00:00+00;67902;1659;705
2021/03/21 00:00:00+00;68211;1665;705
2021/03/22 00:00:00+00;68439;1670;705
2021/03/23 00:00:00+00;68664;1673;709
2021/03/24 00:00:00+00;68964;1677;709
2021/03/25 00:00:00+00;69270;1682;709
2021/03/26 00:00:00+00;69610;1683;710
2021/03/27 00:00:00+00;69995;1690;714
2021/03/28 00:00:00+00;70298;1695;715
2021/03/29 00:00:00+00;70664;1696;715
2021/03/30 00:00:00+00;70881;1702;717
2021/03/31 00:00:00+00;71180;1705;720
2021/04/01 00:00:00+00;71583;1709;721
2021/04/02 00:00:00+00;71871;1712;721
2021/04/03 00:00:00+00;72143;1718;722
2021/04/04 00:00:00+00;72463;1723;723
2021/04/05 00:00:00+00;72685;1728;725
2021/04/06 00:00:00+00;72914;1730;728
2021/04/07 00:00:00+00;73172;1734;729
2021/04/08 00:00:00+00;73436;1737;729
2021/04/09 00:00:00+00;73738;1739;738
2021/04/10 00:00:00+00;74063;1745;741
2021/04/11 00:00:00+00;74315;1751;741
2021/04/12 00:00:00+00;74618;1754;742
2021/04/13 00:00:00+00;74855;1762;743
2021/04/14 00:00:00+00;75023;1770;746
2021/04/15 00:00:00+00;75399;1775;747
2021/04/16 00:00:00+00;75796;1778;747
2021/04/17 00:00:00+00;76078;1783;748
2021/04/18 00:00:00+00;76506;1790;748
2021/04/19 00:00:00+00;76795;1797;749
2021/04/20 00:00:00+00;77116;1801;750
2021/04/21 00:00:00+00;77435;1815;750
2021/04/22 00:00:00+00;77802;1819;751
2021/04/23 00:00:00+00;78221;1824;752
2021/04/24 00:00:00+00;78513;1827;753
2021/04/25 00:00:00+00;78830;1832;754
2021/04/26 00:00:00+00;79097;1835;754
2021/04/27 00:00:00+00;79302;1840;755
2021/04/28 00:00:00+00;79650;1846;756
2021/04/29 00:00:00+00;79908;1850;760
2021/04/30 00:00:00+00;80210;1853;762
2021/05/01 00:00:00+00;80461;1861;765
2021/05/02 00:00:00+00;80843;1866;765
2021/05/03 00:00:00+00;81304;1867;765
2021/05/04 00:00:00+00;81679;1869;765
2021/05/05 00:00:00+00;82041;1870;766
2021/05/06 00:00:00+00;82415;1873;768
2021/05/07 00:00:00+00;82776;1873;768
2021/05/08 00:00:00+00;83196;1877;772
2021/05/09 00:00:00+00;83451;1880;772
2021/05/10 00:00:00+00;83796;1887;775
2021/05/11 00:00:00+00;84026;1891;777
2021/05/12 00:00:00+00;84303;1896;779
2021/05/13 00:00:00+00;84469;1896;780
2021/05/14 00:00:00+00;84792;1897;780
2021/05/15 00:00:00+00;84993;1899;782
2021/05/16 00:00:00+00;85158;1903;783
2021/05/17 00:00:00+00;85235;1903;783
2021/05/18 00:00:00+00;85515;1904;784
2021/05/19 00:00:00+00;85679;1905;784
2021/05/20 00:00:00+00;85901;1907;786
2021/05/21 00:00:00+00;86076;1911;788
2021/05/22 00:00:00+00;86218;1917;790
2021/05/23 00:00:00+00;86345;1921;793
2021/05/24 00:00:00+00;86474;1923;794
2021/05/25 00:00:00+00;86594;1925;795
2021/05/26 00:00:00+00;86742;1926;795
2021/05/27 00:00:00+00;86870;1928;797
2021/05/28 00:00:00+00;87015;1930;798
2021/05/29 00:00:00+00;87220;1933;798
2021/05/30 00:00:00+00;87321;1935;799
2021/05/31 00:00:00+00;87404;1935;799
2021/06/01 00:00:00+00;87470;1936;800
2021/06/02 00:00:00+00;87587;1937;801
2021/06/03 00:00:00+00;87690;1938;801
2021/06/04 00:00:00+00;87840;1942;802
2021/06/05 00:00:00+00;87921;1943;804
2021/06/06 00:00:00+00;87977;1944;806
2021/06/07 00:00:00+00;88034;1945;806
2021/06/08 00:00:00+00;88118;1945;808
2021/06/09 00:00:00+00;88178;1945;808
2021/06/10 00:00:00+00;88235;1947;809
2021/06/11 00:00:00+00;88286;1948;810
2021/06/12 00:00:00+00;88351;1949;810
2021/06/13 00:00:00+00;88413;1950;811
2021/06/14 00:00:00+00;88464;1950;812
2021/06/15 00:00:00+00;88522;1950;812
