Datetime,CMSA-GAWW-22 Kloveniersburgwal
2021-10-10 04:45:00,23
2021-10-10 05:00:00,28
2021-10-10 05:15:00,15
2021-10-10 05:30:00,20
2021-10-10 05:45:00,26
2021-10-10 06:00:00,15
2021-10-10 06:15:00,16
2021-10-10 06:30:00,15
2021-10-10 06:45:00,12
2021-10-10 07:00:00,26
2021-10-10 07:15:00,19
2021-10-10 07:30:00,22
2021-10-10 07:45:00,15
2021-10-10 08:00:00,24
2021-10-10 08:15:00,20
2021-10-10 08:30:00,27
2021-10-10 08:45:00,39
2021-10-10 09:00:00,64
2021-10-10 09:15:00,58
2021-10-10 09:30:00,71
2021-10-10 09:45:00,88
2021-10-10 10:00:00,122
2021-10-10 10:15:00,96
2021-10-10 10:30:00,86
2021-10-10 10:45:00,135
2021-10-10 11:00:00,274
2021-10-10 11:15:00,271
2021-10-10 11:30:00,270
2021-10-10 11:45:00,282
2021-10-10 12:00:00,449
2021-10-10 12:15:00,407
2021-10-10 12:30:00,420
2021-10-10 12:45:00,342
2021-10-10 13:00:00,347
2021-10-10 13:15:00,371
2021-10-10 13:30:00,413
2021-10-10 13:45:00,463
2021-10-10 14:00:00,323
2021-10-10 14:15:00,365
2021-10-10 14:30:00,344
2021-10-10 14:45:00,384
2021-10-10 15:00:00,468
2021-10-10 15:15:00,408
2021-10-10 15:30:00,416
2021-10-10 15:45:00,434
2021-10-10 16:00:00,420
2021-10-10 16:15:00,420
2021-10-10 16:30:00,423
2021-10-10 16:45:00,418
2021-10-10 17:00:00,401
2021-10-10 17:15:00,324
2021-10-10 17:30:00,398
2021-10-10 17:45:00,343
2021-10-10 18:00:00,317
2021-10-10 18:15:00,326
2021-10-10 18:30:00,303
2021-10-10 18:45:00,275
2021-10-10 19:00:00,233
2021-10-10 19:15:00,272
2021-10-10 19:30:00,245
2021-10-10 19:45:00,223
2021-10-10 20:00:00,248
2021-10-10 20:15:00,184
2021-10-10 20:30:00,154
2021-10-10 20:45:00,189
2021-10-10 21:00:00,135
2021-10-10 21:15:00,162
2021-10-10 21:30:00,125
2021-10-10 21:45:00,158
2021-10-10 22:00:00,175
2021-10-10 22:15:00,104
2021-10-10 22:30:00,140
2021-10-10 22:45:00,145
2021-10-10 23:00:00,95
2021-10-10 23:15:00,109
2021-10-10 23:30:00,77
2021-10-10 23:45:00,55
